"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Dealer_Positions_Long_All","Dealer_Positions_Short_All","Dealer_Positions_Spread_All","Asset_Mgr_Positions_Long_All","Asset_Mgr_Positions_Short_All","Asset_Mgr_Positions_Spread_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","Lev_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Change_in_Open_Interest_All","Change_in_Dealer_Long_All","Change_in_Dealer_Short_All","Change_in_Dealer_Spread_All","Change_in_Asset_Mgr_Long_All","Change_in_Asset_Mgr_Short_All","Change_in_Asset_Mgr_Spread_All","Change_in_Lev_Money_Long_All","Change_in_Lev_Money_Short_All","Change_in_Lev_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Dealer_Long_All","Pct_of_OI_Dealer_Short_All","Pct_of_OI_Dealer_Spread_All","Pct_of_OI_Asset_Mgr_Long_All","Pct_of_OI_Asset_Mgr_Short_All","Pct_of_OI_Asset_Mgr_Spread_All","Pct_of_OI_Lev_Money_Long_All","Pct_of_OI_Lev_Money_Short_All","Pct_of_OI_Lev_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Traders_Tot_All","Traders_Dealer_Long_All","Traders_Dealer_Short_All","Traders_Dealer_Spread_All","Traders_Asset_Mgr_Long_All","Traders_Asset_Mgr_Short_All","Traders_Asset_Mgr_Spread_All","Traders_Lev_Money_Long_All","Traders_Lev_Money_Short_All","Traders_Lev_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"SO AFRICAN RAND - CHICAGO MERCANTILE EXCHANGE",240109,2024-01-09,122741,CME ,00,122 ,    6149,     444,    2150,       0,     810,    1491,      77,    3084,    1148,       0,       0,       0,       0,    4415,    4866,    1734,    1283,     682,      49,    1021,       0,    -627,    -176,       0,    1223,    -360,       0,       0,       0,       0,     645,     485,      37,     197,  100.0,    7.2,   35.0,    0.0,   13.2,   24.2,    1.3,   50.2,   18.7,    0.0,    0.0,    0.0,    0.0,   71.8,   79.1,   28.2,   20.9,     26,.,.,      0,.,      4,.,      9,      6,      0,      0,      0,      0,     13,     14,    41.1,    52.1,    59.5,    67.1,    39.9,    52.1,    58.3,    67.1,"(CONTRACTS OF ZAR 500,000)","122741","CME ","122 ","F15","FutOnly"
"SO AFRICAN RAND - CHICAGO MERCANTILE EXCHANGE",240102,2024-01-02,122741,CME ,00,122 ,    5467,     395,    1129,       0,    1437,    1667,      77,    1861,    1508,       0,       0,       0,       0,    3770,    4381,    1697,    1086,    -395,       8,    -697,       0,     144,    -162,       0,    -288,     349,       0,       0,       0,       0,    -136,    -510,    -259,     115,  100.0,    7.2,   20.7,    0.0,   26.3,   30.5,    1.4,   34.0,   27.6,    0.0,    0.0,    0.0,    0.0,   69.0,   80.1,   31.0,   19.9,     24,.,.,      0,      4,      4,.,      8,      5,      0,      0,      0,      0,     13,     12,    34.8,    51.2,    55.6,    71.4,    33.4,    51.2,    54.2,    71.4,"(CONTRACTS OF ZAR 500,000)","122741","CME ","122 ","F15","FutOnly"
"DJIA Consolidated - CHICAGO BOARD OF TRADE",240213,2024-02-13,12460+,CBT ,00,124 ,  105714,   32218,   59826,    1650,   18776,    4829,    4475,   25708,   13566,    3677,    2661,    3217,      44,   89208,   91283,   16505,   14430,    1293,     291,   -3622,     318,   -3939,    2796,      63,    -852,   -2344,    2159,    1430,    -546,      44,    -487,   -1133,    1779,    2425,  100.0,   30.5,   56.6,    1.6,   17.8,    4.6,    4.2,   24.3,   12.8,    3.5,    2.5,    3.0,    0.0,   84.4,   86.3,   15.6,   13.7,    112,     10,     16,      9,     20,      5,      6,     33,     17,     16,.,      8,.,     79,     65,    34.6,    47.1,    46.1,    58.9,    34.3,    46.9,    45.8,    56.6,"($5 X DJIA INDEX)","12460+","CBT ","124 ","F20","FutOnly"
"DJIA Consolidated - CHICAGO BOARD OF TRADE",240206,2024-02-06,12460+,CBT ,00,124 ,  104421,   31927,   63448,    1332,   22715,    2033,    4412,   26560,   15910,    1518,    1231,    3763,       0,   89695,   92416,   14726,   12005,   -5972,    1375,   -1712,     -46,     198,   -1884,    1009,   -6252,    -362,    -393,   -1136,     -11,     -17,   -5262,   -3416,    -710,   -2556,  100.0,   30.6,   60.8,    1.3,   21.8,    1.9,    4.2,   25.4,   15.2,    1.5,    1.2,    3.6,    0.0,   85.9,   88.5,   14.1,   11.5,    103,     10,     16,      7,     22,      4,      6,     26,     17,     15,.,      7,      0,     70,     61,    34.7,    44.3,    47.4,    60.5,    34.0,    44.1,    45.7,    60.2,"($5 X DJIA INDEX)","12460+","CBT ","124 ","F20","FutOnly"
"DJIA Consolidated - CHICAGO BOARD OF TRADE",240130,2024-01-30,12460+,CBT ,00,124 ,  110393,   30553,   65160,    1378,   22517,    3917,    3403,   32812,   16272,    1911,    2367,    3774,      17,   94957,   95832,   15436,   14561,    8630,    -503,    7736,    -142,    4127,   -3687,    1882,    3501,    1518,    -658,     644,     286,     -27,    8823,    6908,    -194,    1722,  100.0,   27.7,   59.0,    1.2,   20.4,    3.5,    3.1,   29.7,   14.7,    1.7,    2.1,    3.4,    0.0,   86.0,   86.8,   14.0,   13.2,    129,     10,     19,      8,     23,      6,      6,     41,     18,     15,      4,      8,.,     91,     68,    31.9,    41.9,    43.6,    57.3,    31.7,    41.7,    42.3,    57.1,"($5 X DJIA INDEX)","12460+","CBT ","124 ","F20","FutOnly"
"DJIA Consolidated - CHICAGO BOARD OF TRADE",240123,2024-01-23,12460+,CBT ,00,124 ,  101763,   31056,   57424,    1520,   18390,    7604,    1521,   29311,   14754,    2569,    1723,    3488,      44,   86134,   88924,   15629,   12839,    1611,    1415,    3912,     112,    -475,   -1692,    -510,    -648,    2725,     466,     492,    -938,      44,     896,    4118,     715,   -2507,  100.0,   30.5,   56.4,    1.5,   18.1,    7.5,    1.5,   28.8,   14.5,    2.5,    1.7,    3.4,    0.0,   84.6,   87.4,   15.4,   12.6,    120,     11,     16,      6,     17,      7,      5,     34,     22,     17,.,      9,.,     79,     70,    34.1,    39.9,    45.9,    55.7,    33.8,    39.7,    45.6,    55.2,"($5 X DJIA INDEX)","12460+","CBT ","124 ","F20","FutOnly"
"DJIA Consolidated - CHICAGO BOARD OF TRADE",240116,2024-01-16,12460+,CBT ,00,124 ,  100152,   29640,   53512,    1408,   18865,    9296,    2031,   29959,   12029,    2103,    1231,    4426,       0,   85238,   84806,   14914,   15346,   -3166,      12,   -7516,      97,   -1163,    2416,    -921,    -693,   -1472,     303,   -1449,    1493,     -11,   -3825,   -5610,     658,    2444,  100.0,   29.6,   53.4,    1.4,   18.8,    9.3,    2.0,   29.9,   12.0,    2.1,    1.2,    4.4,    0.0,   85.1,   84.7,   14.9,   15.3,    113,     11,     18,      6,     18,      7,      6,     30,     20,     17,.,      8,      0,     74,     68,    33.5,    37.7,    46.7,    53.8,    33.3,    37.5,    46.5,    52.4,"($5 X DJIA INDEX)","12460+","CBT ","124 ","F20","FutOnly"
"DJIA Consolidated - CHICAGO BOARD OF TRADE",240109,2024-01-09,12460+,CBT ,00,124 ,  103318,   29628,   61028,    1311,   20028,    6880,    2952,   30652,   13501,    1800,    2680,    2933,      11,   89062,   90416,   14256,   12902,     -46,     244,    -176,    -199,   -5102,    1131,     304,    2700,   -1397,     312,    1227,    -183,      11,    -503,    -197,     457,     151,  100.0,   28.7,   59.1,    1.3,   19.4,    6.7,    2.9,   29.7,   13.1,    1.7,    2.6,    2.8,    0.0,   86.2,   87.5,   13.8,   12.5,    100,     11,     19,      6,     20,      6,      6,     19,     18,     12,.,      5,.,     66,     59,    32.1,    37.8,    46.1,    56.0,    31.8,    37.6,    45.9,    55.0,"($5 X DJIA INDEX)","12460+","CBT ","124 ","F20","FutOnly"
"DJIA Consolidated - CHICAGO BOARD OF TRADE",240102,2024-01-02,12460+,CBT ,00,124 ,  103364,   29384,   61204,    1510,   25130,    5749,    2648,   27952,   14898,    1488,    1453,    3116,       0,   89565,   90613,   13799,   12751,    4863,    -926,    3782,     102,    -940,    2651,    1082,    6154,   -1768,    -599,     -74,    -733,       0,    4799,    4517,      64,     346,  100.0,   28.4,   59.2,    1.5,   24.3,    5.6,    2.6,   27.0,   14.4,    1.4,    1.4,    3.0,    0.0,   86.7,   87.7,   13.3,   12.3,    105,     10,     21,      6,     21,      4,      7,     26,     16,     12,.,      5,      0,     71,     59,    31.3,    37.1,    43.9,    58.4,    30.1,    36.3,    42.3,    56.8,"($5 X DJIA INDEX)","12460+","CBT ","124 ","F20","FutOnly"
"DJIA x $5 - CHICAGO BOARD OF TRADE",240213,2024-02-13,124603,CBT ,00,124 ,  103437,   32144,   59706,    1646,   18776,    4829,    4475,   24984,   13618,    2877,    2651,    3149,      17,   87570,   90317,   15867,   13120,    -984,     217,   -3742,     314,   -3939,    2796,      63,   -1576,   -2292,    1359,    1420,    -614,      17,   -2125,   -2099,    1141,    1115,  100.0,   31.1,   57.7,    1.6,   18.2,    4.7,    4.3,   24.2,   13.2,    2.8,    2.6,    3.0,    0.0,   84.7,   87.3,   15.3,   12.7,     95,      9,     14,      8,     20,      5,      6,     23,     16,     13,.,      6,.,     67,     56,    35.3,    48.2,    47.2,    60.2,    35.1,    47.9,    46.8,    57.9,"($5 X DJIA INDEX)","124603","CBT ","124 ","F20","FutOnly"
"DJIA x $5 - CHICAGO BOARD OF TRADE",240206,2024-02-06,124603,CBT ,00,124 ,  104421,   31927,   63448,    1332,   22715,    2033,    4412,   26560,   15910,    1518,    1231,    3763,       0,   89695,   92416,   14726,   12005,   -3475,    1448,   -1547,     -44,     198,   -1884,    1009,   -5018,    -228,     217,   -1058,       9,     -17,   -3265,   -2485,    -210,    -990,  100.0,   30.6,   60.8,    1.3,   21.8,    1.9,    4.2,   25.4,   15.2,    1.5,    1.2,    3.6,    0.0,   85.9,   88.5,   14.1,   11.5,    103,     10,     16,      7,     22,      4,      6,     26,     17,     15,.,      7,      0,     70,     61,    34.7,    44.3,    47.4,    60.5,    34.0,    44.1,    45.7,    60.2,"($5 X DJIA INDEX)","124603","CBT ","124 ","F20","FutOnly"
"DJIA x $5 - CHICAGO BOARD OF TRADE",240130,2024-01-30,124603,CBT ,00,124 ,  107896,   30479,   64995,    1376,   22517,    3917,    3403,   31578,   16138,    1301,    2289,    3754,      17,   92960,   94901,   14936,   12995,    8199,    -515,    7753,    -144,    4127,   -3687,    1882,    2795,    1267,    -479,     599,     309,       0,    8265,    6901,     -66,    1298,  100.0,   28.2,   60.2,    1.3,   20.9,    3.6,    3.2,   29.3,   15.0,    1.2,    2.1,    3.5,    0.0,   86.2,   88.0,   13.8,   12.0,    115,      9,     18,      7,     23,      6,      6,     32,     17,     12,.,      7,.,     80,     61,    32.7,    42.8,    44.6,    58.6,    32.4,    42.6,    43.2,    58.4,"($5 X DJIA INDEX)","124603","CBT ","124 ","F20","FutOnly"
"DJIA x $5 - CHICAGO BOARD OF TRADE",240123,2024-01-23,124603,CBT ,00,124 ,   99697,   30994,   57242,    1520,   18390,    7604,    1521,   28783,   14871,    1780,    1690,    3445,      17,   84695,   88000,   15002,   11697,    1532,    1391,    3836,     112,    -475,   -1692,    -510,    -324,    2832,     179,     459,    -849,      17,     849,    3925,     683,   -2393,  100.0,   31.1,   57.4,    1.5,   18.4,    7.6,    1.5,   28.9,   14.9,    1.8,    1.7,    3.5,    0.0,   85.0,   88.3,   15.0,   11.7,    105,     10,     15,      6,     17,      7,      5,     27,     20,     13,.,      7,.,     68,     62,    34.8,    40.7,    46.8,    56.8,    34.5,    40.5,    46.5,    56.4,"($5 X DJIA INDEX)","124603","CBT ","124 ","F20","FutOnly"
"DJIA x $5 - CHICAGO BOARD OF TRADE",240116,2024-01-16,124603,CBT ,00,124 ,   98165,   29603,   53406,    1408,   18865,    9296,    2031,   29107,   12039,    1601,    1231,    4294,       0,   83846,   84075,   14319,   14090,   -5153,     -25,   -7622,      97,   -1163,    2416,    -921,   -1545,   -1462,    -199,   -1449,    1361,     -11,   -5216,   -6341,      63,    1188,  100.0,   30.2,   54.4,    1.4,   19.2,    9.5,    2.1,   29.7,   12.3,    1.6,    1.3,    4.4,    0.0,   85.4,   85.6,   14.6,   14.4,     96,     10,     17,      6,     18,      7,      6,     21,     16,     14,.,      6,      0,     64,     58,    34.2,    38.5,    47.7,    54.9,    33.9,    38.2,    47.4,    53.5,"($5 X DJIA INDEX)","124603","CBT ","124 ","F20","FutOnly"
"DJIA x $5 - CHICAGO BOARD OF TRADE",240109,2024-01-09,124603,CBT ,00,124 ,  103318,   29628,   61028,    1311,   20028,    6880,    2952,   30652,   13501,    1800,    2680,    2933,      11,   89062,   90416,   14256,   12902,     -46,     244,    -176,    -199,   -5102,    1131,     304,    2700,   -1397,     312,    1227,    -183,      11,    -503,    -197,     457,     151,  100.0,   28.7,   59.1,    1.3,   19.4,    6.7,    2.9,   29.7,   13.1,    1.7,    2.6,    2.8,    0.0,   86.2,   87.5,   13.8,   12.5,    100,     11,     19,      6,     20,      6,      6,     19,     18,     12,.,      5,.,     66,     59,    32.1,    37.8,    46.1,    56.0,    31.8,    37.6,    45.9,    55.0,"($5 X DJIA INDEX)","124603","CBT ","124 ","F20","FutOnly"
"DJIA x $5 - CHICAGO BOARD OF TRADE",240102,2024-01-02,124603,CBT ,00,124 ,  103364,   29384,   61204,    1510,   25130,    5749,    2648,   27952,   14898,    1488,    1453,    3116,       0,   89565,   90613,   13799,   12751,    4863,    -926,    3782,     102,    -940,    2651,    1082,    6154,   -1768,    -599,     -74,    -733,       0,    4799,    4517,      64,     346,  100.0,   28.4,   59.2,    1.5,   24.3,    5.6,    2.6,   27.0,   14.4,    1.4,    1.4,    3.0,    0.0,   86.7,   87.7,   13.3,   12.3,    105,     10,     21,      6,     21,      4,      7,     26,     16,     12,.,      5,      0,     71,     59,    31.3,    37.1,    43.9,    58.4,    30.1,    36.3,    42.3,    56.8,"($5 X DJIA INDEX)","124603","CBT ","124 ","F20","FutOnly"
"DOW JONES U.S. REAL ESTATE IDX - CHICAGO BOARD OF TRADE",240213,2024-02-13,124606,CBT ,00,124 ,   55849,   22150,   42825,       0,   26750,    6204,    1667,    2491,    4148,       0,       0,       0,       0,   53058,   54844,    2791,    1005,   -2221,   -1871,   -2900,       0,     638,     226,    -152,    -902,     566,       0,       0,       0,       0,   -2287,   -2260,      66,      39,  100.0,   39.7,   76.7,    0.0,   47.9,   11.1,    3.0,    4.5,    7.4,    0.0,    0.0,    0.0,    0.0,   95.0,   98.2,    5.0,    1.8,     37,      5,      6,      0,     16,      4,.,.,      4,      0,      0,      0,      0,     23,     17,    49.5,    75.8,    69.8,    91.2,    47.8,    75.8,    67.8,    90.8,"($100 X DJ US REAL ESTATE INDEX)","124606","CBT ","124 ","F20","FutOnly"
"DOW JONES U.S. REAL ESTATE IDX - CHICAGO BOARD OF TRADE",240206,2024-02-06,124606,CBT ,00,124 ,   58070,   24021,   45725,       0,   26112,    5978,    1819,    3393,    3582,       0,       0,       0,       0,   55345,   57104,    2725,     966,   -3615,    -462,   -4855,       0,   -3476,     347,     358,     101,     445,       0,       0,       0,       0,   -3479,   -3705,    -136,      90,  100.0,   41.4,   78.7,    0.0,   45.0,   10.3,    3.1,    5.8,    6.2,    0.0,    0.0,    0.0,    0.0,   95.3,   98.3,    4.7,    1.7,     38,      5,      6,      0,     16,      4,.,.,      4,      0,      0,      0,      0,     24,     17,    50.8,    77.9,    70.0,    92.4,    49.2,    77.9,    67.8,    91.9,"($100 X DJ US REAL ESTATE INDEX)","124606","CBT ","124 ","F20","FutOnly"
"DOW JONES U.S. REAL ESTATE IDX - CHICAGO BOARD OF TRADE",240130,2024-01-30,124606,CBT ,00,124 ,   61685,   24483,   50580,       0,   29588,    5631,    1461,    3292,    3137,       0,       0,       0,       0,   58824,   60809,    2861,     876,     438,    1273,     359,       0,    -744,      23,      -7,    -277,     164,       0,       0,       0,       0,     245,     539,     193,    -101,  100.0,   39.7,   82.0,    0.0,   48.0,    9.1,    2.4,    5.3,    5.1,    0.0,    0.0,    0.0,    0.0,   95.4,   98.6,    4.6,    1.4,     36,      5,      6,      0,     16,.,.,.,.,      0,      0,      0,      0,     24,     15,    52.4,    81.2,    72.0,    94.1,    51.3,    81.2,    70.5,    94.0,"($100 X DJ US REAL ESTATE INDEX)","124606","CBT ","124 ","F20","FutOnly"
"DOW JONES U.S. REAL ESTATE IDX - CHICAGO BOARD OF TRADE",240123,2024-01-23,124606,CBT ,00,124 ,   61247,   23210,   50221,       0,   30332,    5608,    1468,    3569,    2973,       0,       0,       0,       0,   58579,   60270,    2668,     977,    2434,    2442,    1529,       0,     -34,     874,      59,     209,    -104,       0,       0,       0,       0,    2676,    2358,    -242,      76,  100.0,   37.9,   82.0,    0.0,   49.5,    9.2,    2.4,    5.8,    4.9,    0.0,    0.0,    0.0,    0.0,   95.6,   98.4,    4.4,    1.6,     37,      5,      6,      0,     17,.,.,.,.,      0,      0,      0,      0,     25,     15,    51.6,    80.9,    71.5,    93.8,    50.4,    80.9,    70.0,    93.7,"($100 X DJ US REAL ESTATE INDEX)","124606","CBT ","124 ","F20","FutOnly"
"DOW JONES U.S. REAL ESTATE IDX - CHICAGO BOARD OF TRADE",240116,2024-01-16,124606,CBT ,00,124 ,   58813,   20768,   48692,       0,   30366,    4734,    1409,    3360,    3077,       0,       0,       0,       0,   55903,   57912,    2910,     901,     850,    2689,    1359,       0,   -1916,    -416,     -37,    -214,      96,       0,       0,       0,       0,     522,    1002,     328,    -152,  100.0,   35.3,   82.8,    0.0,   51.6,    8.0,    2.4,    5.7,    5.2,    0.0,    0.0,    0.0,    0.0,   95.1,   98.5,    4.9,    1.5,     38,      5,      6,      0,     19,.,.,.,.,      0,      0,      0,      0,     27,     14,    48.5,    82.5,    70.1,    95.2,    47.3,    82.5,    68.6,    94.7,"($100 X DJ US REAL ESTATE INDEX)","124606","CBT ","124 ","F20","FutOnly"
"DOW JONES U.S. REAL ESTATE IDX - CHICAGO BOARD OF TRADE",240109,2024-01-09,124606,CBT ,00,124 ,   57963,   18079,   47333,       0,   32282,    5150,    1446,    3574,    2981,       0,       0,       0,       0,   55381,   56910,    2582,    1053,    5077,    7291,    5028,       0,   -2344,     -44,     -20,      50,    -117,       0,       0,       0,       0,    4977,    4847,     100,     230,  100.0,   31.2,   81.7,    0.0,   55.7,    8.9,    2.5,    6.2,    5.1,    0.0,    0.0,    0.0,    0.0,   95.5,   98.2,    4.5,    1.8,     39,      6,      6,      0,     20,.,.,.,.,      0,      0,      0,      0,     28,     14,    44.1,    83.0,    67.6,    94.9,    42.8,    83.0,    66.1,    94.4,"($100 X DJ US REAL ESTATE INDEX)","124606","CBT ","124 ","F20","FutOnly"
"DOW JONES U.S. REAL ESTATE IDX - CHICAGO BOARD OF TRADE",240102,2024-01-02,124606,CBT ,00,124 ,   52886,   10788,   42305,       0,   34626,    5194,    1466,    3524,    3098,       0,       0,       0,       0,   50404,   52063,    2482,     823,    6031,    2991,    5440,       0,    2551,     302,     -25,     931,     -85,       0,       0,       0,       0,    6448,    5632,    -417,     399,  100.0,   20.4,   80.0,    0.0,   65.5,    9.8,    2.8,    6.7,    5.9,    0.0,    0.0,    0.0,    0.0,   95.3,   98.4,    4.7,    1.6,     40,      5,      7,      0,     21,.,.,.,.,      0,      0,      0,      0,     28,     15,    41.6,    80.5,    65.0,    93.7,    40.6,    80.5,    63.4,    93.3,"($100 X DJ US REAL ESTATE INDEX)","124606","CBT ","124 ","F20","FutOnly"
"MICRO E-MINI DJIA (x$0.5) - CHICAGO BOARD OF TRADE",240213,2024-02-13,124608,CBT ,00,124 ,   22767,     742,    1200,      39,       0,       0,       0,   15079,    7322,     153,     370,     949,       0,   16383,    9663,    6384,   13104,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,  100.0,    3.3,    5.3,    0.2,    0.0,    0.0,    0.0,   66.2,   32.2,    0.7,    1.6,    4.2,    0.0,   72.0,   42.4,   28.0,   57.6,     23,.,.,.,      0,      0,      0,     12,      4,.,.,.,      0,     14,     11,    51.5,    34.6,    63.3,    40.7,    51.5,    34.6,    63.2,    40.7,"($0.5 X DJIA INDEX)","124608","CBT ","124 ","F20","FutOnly"
"MICRO E-MINI DJIA (x$0.5) - CHICAGO BOARD OF TRADE",240130,2024-01-30,124608,CBT ,00,124 ,   24966,     735,    1654,      20,       0,       0,       0,   17890,    6892,     545,     779,     200,       0,   19969,    9311,    4997,   15655,    4305,     119,    -166,      20,       0,       0,       0,    4938,     393,     324,     179,    -501,       0,    5580,      70,   -1275,    4235,  100.0,    2.9,    6.6,    0.1,    0.0,    0.0,    0.0,   71.7,   27.6,    2.2,    3.1,    0.8,    0.0,   80.0,   37.3,   20.0,   62.7,     24,.,.,.,      0,      0,      0,     13,      5,      4,.,.,      0,     16,     13,    58.2,    28.4,    70.6,    35.6,    56.6,    28.4,    68.9,    35.0,"($0.5 X DJIA INDEX)","124608","CBT ","124 ","F20","FutOnly"
"MICRO E-MINI DJIA (x$0.5) - CHICAGO BOARD OF TRADE",240123,2024-01-23,124608,CBT ,00,124 ,   20661,     616,    1820,       0,       0,       0,       0,   12952,    6499,     221,     600,     701,       0,   14389,    9241,    6272,   11420,     794,     244,     758,       0,       0,       0,       0,    -154,    2015,    -216,     600,    -623,       0,     474,    1934,     320,   -1140,  100.0,    3.0,    8.8,    0.0,    0.0,    0.0,    0.0,   62.7,   31.5,    1.1,    2.9,    3.4,    0.0,   69.6,   44.7,   30.4,   55.3,     21,.,.,      0,      0,      0,      0,      9,      5,.,.,.,      0,     11,     12,    53.0,    33.0,    64.8,    41.6,    52.7,    33.0,    64.5,    41.6,"($0.5 X DJIA INDEX)","124608","CBT ","124 ","F20","FutOnly"
"MICRO E-MINI DJIA (x$0.5) - CHICAGO BOARD OF TRADE",240116,2024-01-16,124608,CBT ,00,124 ,   19867,     372,    1062,       0,       0,       0,       0,   13106,    4484,     437,       0,    1324,       0,   13915,    7307,    5952,   12560,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,  100.0,    1.9,    5.3,    0.0,    0.0,    0.0,    0.0,   66.0,   22.6,    2.2,    0.0,    6.7,    0.0,   70.0,   36.8,   30.0,   63.2,     22,.,.,      0,      0,      0,      0,     11,      5,      5,      0,.,      0,     13,     14,    55.4,    23.9,    65.1,    32.5,    53.9,    23.9,    63.6,    32.3,"($0.5 X DJIA INDEX)","124608","CBT ","124 ","F20","FutOnly"
"S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE",240213,2024-02-13,13874+,CME ,00,138 , 2355646,  299148,  870565,   60241, 1182982,  243591,  157429,  178718,  553828,   77614,  131145,  184289,    8218, 2095496, 2155774,  260150,  199872,   41878,   10381,   12303,    4667,    1938,  -19764,    1817,   14557,  -17932,   22796,  -17897,   25919,    4686,   42945,   34492,   -1067,    7386,  100.0,   12.7,   37.0,    2.6,   50.2,   10.3,    6.7,    7.6,   23.5,    3.3,    5.6,    7.8,    0.3,   89.0,   91.5,   11.0,    8.5,    527,     32,     37,     21,    177,     60,     97,     77,     93,     62,     23,     27,      7,    383,    331,    10.3,    25.0,    17.9,    34.5,     9.3,    24.3,    16.6,    32.1,"(S&P 500 INDEX X $50.00)","13874+","CME ","138 ","F20","FutOnly"
"S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE",240206,2024-02-06,13874+,CME ,00,138 , 2313768,  288767,  858262,   55574, 1181044,  263355,  155613,  164162,  571760,   54818,  149042,  158370,    3531, 2052551, 2121282,  261217,  192486,  -12288,   27363,  -11756,    2168,  -31097,   22769,    -344,  -13211,  -30340,    3894,   10145,    2554,   -2089,   -3171,  -13145,   -9117,     856,  100.0,   12.5,   37.1,    2.4,   51.0,   11.4,    6.7,    7.1,   24.7,    2.4,    6.4,    6.8,    0.2,   88.7,   91.7,   11.3,    8.3,    517,     33,     38,     22,    175,     65,    101,     75,     87,     61,     21,     21,      7,    379,    329,    10.6,    25.9,    17.2,    35.5,     9.4,    25.1,    15.9,    33.8,"(S&P 500 INDEX X $50.00)","13874+","CME ","138 ","F20","FutOnly"
"S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE",240130,2024-01-30,13874+,CME ,00,138 , 2326056,  261405,  870018,   53406, 1212141,  240586,  155957,  177373,  602100,   50924,  138897,  155816,    5620, 2055722, 2134427,  270335,  191629,   38646,   12818,   32212,    8717,   19422,  -37648,   -2013,   -2153,   34495,   -3312,    2918,    9288,    -636,   35761,   41104,    2884,   -2459,  100.0,   11.2,   37.4,    2.3,   52.1,   10.3,    6.7,    7.6,   25.9,    2.2,    6.0,    6.7,    0.2,   88.4,   91.8,   11.6,    8.2,    522,     31,     37,     18,    183,     59,    100,     83,     83,     60,     23,     21,      6,    381,    325,    10.3,    25.6,    16.4,    36.3,     9.2,    25.0,    15.3,    34.9,"(S&P 500 INDEX X $50.00)","13874+","CME ","138 ","F20","FutOnly"
"S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE",240123,2024-01-23,13874+,CME ,00,138 , 2287411,  248586,  837806,   44689, 1192719,  278234,  157969,  179526,  567605,   54236,  135979,  146528,    6256, 2019961, 2093323,  267450,  194088,   53884,   29742,  -18016,    7504,     892,   15909,  -14885,   25019,  120191,  -10699,   23631,  -25688,   -6084,   55120,   68232,   -1235,  -14348,  100.0,   10.9,   36.6,    2.0,   52.1,   12.2,    6.9,    7.8,   24.8,    2.4,    5.9,    6.4,    0.3,   88.3,   91.5,   11.7,    8.5,    518,     30,     37,     20,    184,     61,    102,     81,     81,     61,     23,     20,      9,    380,    330,    10.7,    24.8,    16.7,    35.3,     9.6,    24.4,    15.5,    33.7,"(S&P 500 INDEX X $50.00)","13874+","CME ","138 ","F20","FutOnly"
